"","support_torture","poliknow","tthreat","auth","republican","independent","democrat","weight","year","age","agegroup","male","female","famincome","individincome","culturalt","immigrantlevel","education","immjobthreat","race","wiretapnowarrant","wiretap_powers","muslim_thermo","auth.both","auth.both.t","rageg","rfinc","support_torture.c","tthreat.c","poliknow.c","auth.c","auth.both.c","auth.both.t.c","culturalt.c","age.c"
"1",7,1,2,0.75,0,1,0,757,"2008",35,NA,1,0,"$135,000-$149,999","$120,000-$134,999",NA,3,"Some college",NA,"NH Native",NA,NA,50,0.75,0.75,NA,"$110,000-$149,999",3.63519351935194,-0.661353493032152,0.48636763412489,0.131476251214772,0.144929308198471,0.144664674930884,NA,-14.1030046413159
"2",NA,0,NA,NA,0,0,1,504,"2008",58,NA,0,1,"$30,000-$34,999","$15,000-$16,999",NA,NA,"High School",NA,"NH White",NA,NA,NA,NA,NA,NA,"$30,000-$34,999",NA,NA,-0.51363236587511,NA,NA,NA,NA,8.89699535868414
"3",3,1,4,NA,1,0,0,814,"2008",39,NA,0,1,"$100,000-$109,999","$30,000-$34,999",NA,4,"Bachelor's Degree",NA,"NH White",NA,NA,50,0.5,0.5,NA,"$100,000-$109,999",-0.364806480648065,1.33864650696785,0.48636763412489,NA,-0.105070691801529,-0.105335325069116,NA,-10.1030046413159
"4",4,0,1,1,NA,NA,NA,791,"2008",50,NA,1,0,"$100,000-$109,999","$22,000-$24,999",NA,4,"High School",NA,"NH White",NA,NA,60,0.625,0.625,NA,"$100,000-$109,999",0.635193519351935,-1.66135349303215,-0.51363236587511,0.381476251214772,0.0199293081984706,0.0196646749308838,NA,0.896995358684144
"5",2,1,4,0.75,1,0,0,842,"2008",72,NA,1,0,"$75,000-$89,999","$75,000-$89,999",NA,3,"Bachelor's Degree",NA,"NH White",NA,NA,15,0.75,0.75,NA,"$75,000-$89,999",-1.36480648064806,1.33864650696785,0.48636763412489,0.131476251214772,0.144929308198471,0.144664674930884,NA,22.8969953586841
"6",NA,0,NA,NA,1,0,0,504,"2008",71,NA,0,1,"$60,000-$74,999","$5,000 -$7,499",NA,NA,"Some college",NA,"NH White",NA,NA,NA,NA,NA,NA,"$60,000-$74,999",NA,NA,-0.51363236587511,NA,NA,NA,NA,21.8969953586841
"7",1,0,3,1,0,1,0,806,"2008",66,NA,0,1,"$40,000-$44,999","$22,000-$24,999",NA,3,"Bachelor's Degree",NA,"NH White",NA,NA,40,0.75,0.75,NA,"$40,000-$44,999",-2.36480648064806,0.338646506967848,-0.51363236587511,0.381476251214772,0.144929308198471,0.144664674930884,NA,16.8969953586841
"8",2,1,4,0.75,NA,NA,NA,778,"2008",56,NA,1,0,"$90,000-$99,999","$75,000-$89,999",NA,3,"Some college",NA,"NH White",NA,NA,70,0.75,0.75,NA,"$90,000-$99,999",-1.36480648064806,1.33864650696785,0.48636763412489,0.131476251214772,0.144929308198471,0.144664674930884,NA,6.89699535868414
"9",4,0.5,4,0.75,1,0,0,808,"2008",40,NA,0,1,"$75,000-$89,999","$35,000-$39,999",NA,3,"Some college",NA,"NH White",NA,NA,50,0.75,0.75,NA,"$75,000-$89,999",0.635193519351935,1.33864650696785,-0.01363236587511,0.131476251214772,0.144929308198471,0.144664674930884,NA,-9.10300464131586
"10",4,0.5,4,1,0,0,1,302,"2008",55,NA,1,0,"$75,000-$89,999","$75,000-$89,999",NA,3,"Some college",NA,"NH Black",NA,NA,60,1,1,NA,"$75,000-$89,999",0.635193519351935,1.33864650696785,-0.01363236587511,0.381476251214772,0.394929308198471,0.394664674930884,NA,5.89699535868414
"11",2,1,2,0.5,0,1,0,813,"2008",84,NA,0,1,"$60,000-$74,999",NA,NA,4,"Some college",NA,"NH White",NA,NA,50,0.5,0.5,NA,"$60,000-$74,999",-1.36480648064806,-0.661353493032152,0.48636763412489,-0.118523748785228,-0.105070691801529,-0.105335325069116,NA,34.8969953586841
"12",7,1,2,1,1,0,0,791,"2008",55,NA,0,1,"$100,000-$109,999","$75,000-$89,999",NA,5,"High School",NA,"NH White",NA,NA,0,1,1,NA,"$100,000-$109,999",3.63519351935194,-0.661353493032152,0.48636763412489,0.381476251214772,0.394929308198471,0.394664674930884,NA,5.89699535868414
"13",2,1,2,0.75,1,0,0,774,"2008",30,NA,1,0,"$100,000-$109,999","$17,000-$19,999",NA,4,"High School",NA,"NH White",NA,NA,50,0.75,0.75,NA,"$100,000-$109,999",-1.36480648064806,-0.661353493032152,0.48636763412489,0.131476251214772,0.144929308198471,0.144664674930884,NA,-19.1030046413159
"14",4,0.5,1,0.25,1,0,0,596,"2008",79,NA,0,1,"$45,000-$49,999","$45,000-$49,999",NA,5,"Some college",NA,"NH White",NA,NA,0,0.25,0.25,NA,"$45,000-$49,999",0.635193519351935,-1.66135349303215,-0.01363236587511,-0.368523748785228,-0.355070691801529,-0.355335325069116,NA,29.8969953586841
"15",NA,0.5,4,0.5,0,1,0,596,"2008",78,NA,0,1,"$11,000-$12,499","$11,000-$12,499",NA,3,"Some college",NA,"NH White",NA,NA,60,0.5,0.5,NA,"$12,500-$14,999",NA,1.33864650696785,-0.01363236587511,-0.118523748785228,-0.105070691801529,-0.105335325069116,NA,28.8969953586841
"16",3,0,2,0,0,1,0,679,"2008",72,NA,0,1,"$75,000-$89,999","$75,000-$89,999",NA,3,"Graduate Degree",NA,"NH White",NA,NA,60,0,0,NA,"$75,000-$89,999",-0.364806480648065,-0.661353493032152,-0.51363236587511,-0.618523748785228,-0.605070691801529,-0.605335325069116,NA,22.8969953586841
"17",4,0,3,1,0,0,1,474,"2008",21,NA,0,1,"$7,500 -$9,999","$7,500 -$9,999",NA,4,"High School",NA,"NH Black",NA,NA,70,1,1,NA,"$5,000-$9,999",0.635193519351935,0.338646506967848,-0.51363236587511,0.381476251214772,0.394929308198471,0.394664674930884,NA,-28.1030046413159
"18",6,0,2,1,0,1,0,839,"2008",27,NA,1,0,"$90,000-$99,999","$35,000-$39,999",NA,4,"Some college",NA,"NH White",NA,NA,40,1,1,NA,"$90,000-$99,999",2.63519351935194,-0.661353493032152,-0.51363236587511,0.381476251214772,0.394929308198471,0.394664674930884,NA,-22.1030046413159
"19",1,1,4,0,0,0,1,806,"2008",61,NA,1,0,"$50,000-$59,999","$50,000-$59,999",NA,3,"Bachelor's Degree",NA,"NH White",NA,NA,50,0,0,NA,"$50,000-$59,999",-2.36480648064806,1.33864650696785,0.48636763412489,-0.618523748785228,-0.605070691801529,-0.605335325069116,NA,11.8969953586841
"20",2,1,1,1,1,0,0,827,"2008",51,NA,1,0,"$110,000-$119,999","$75,000-$89,999",NA,3,"Bachelor's Degree",NA,"NH White",NA,NA,15,0.625,0.625,NA,"$110,000-$149,999",-1.36480648064806,-1.66135349303215,0.48636763412489,0.381476251214772,0.0199293081984706,0.0196646749308838,NA,1.89699535868414
"21",1,1,2,0.5,0,1,0,814,"2008",32,NA,0,1,"$25,000-$29,999","$25,000-$29,999",NA,3,"Bachelor's Degree",NA,"NH White",NA,NA,50,0.5,0.5,NA,"$25,000-$29,999",-2.36480648064806,-0.661353493032152,0.48636763412489,-0.118523748785228,-0.105070691801529,-0.105335325069116,NA,-17.1030046413159
"22",1,0,4,0.666666666666667,0,1,0,609,"2008",87,NA,0,1,"$20,000-$21,999","$20,000-$21,999",NA,5,"High School",NA,"NH White",NA,NA,15,0.625,0.625,NA,"$20,000-$24,999",-2.36480648064806,1.33864650696785,-0.51363236587511,0.0481429178814382,0.0199293081984706,0.0196646749308838,NA,37.8969953586841
"23",4,0,3,1,0,0,1,284,"2008",37,NA,0,1,"$75,000-$89,999","$40,000-$44,999",NA,3,"Less than High School",NA,"Hispanic",NA,NA,50,1,1,NA,"$75,000-$89,999",0.635193519351935,0.338646506967848,-0.51363236587511,0.381476251214772,0.394929308198471,0.394664674930884,NA,-12.1030046413159
"24",2,0,1,1,0,0,1,454,"2008",28,NA,0,1,"$30,000-$34,999","$30,000-$34,999",NA,3,"Less than High School",NA,"Hispanic",NA,NA,60,0.625,0.625,NA,"$30,000-$34,999",-1.36480648064806,-1.66135349303215,-0.51363236587511,0.381476251214772,0.0199293081984706,0.0196646749308838,NA,-21.1030046413159
"25",6,0,2,1,0,0,1,170,"2008",19,NA,0,1,"$20,000-$21,999","$11,000-$12,499",NA,2,"Some college",NA,"Hispanic",NA,NA,85,0.625,0.625,NA,"$20,000-$24,999",2.63519351935194,-0.661353493032152,-0.51363236587511,0.381476251214772,0.0199293081984706,0.0196646749308838,NA,-30.1030046413159
"26",NA,0,NA,NA,0,0,1,504,"2008",55,NA,1,0,"$25,000-$29,999","$25,000-$29,999",NA,NA,"Some college",NA,"NH White",NA,NA,NA,NA,NA,NA,"$25,000-$29,999",NA,NA,-0.51363236587511,NA,NA,NA,NA,5.89699535868414
"27",7,0,1,1,0,NA,0,356,"2008",43,NA,0,1,"$30,000-$34,999","$7,500 -$9,999",NA,3,"Less than High School",NA,"Hispanic",NA,NA,NA,1,1,NA,"$30,000-$34,999",3.63519351935194,-1.66135349303215,-0.51363236587511,0.381476251214772,0.394929308198471,0.394664674930884,NA,-6.10300464131586
"28",4,0.5,4,0.5,0,0,1,585,"2008",41,NA,1,0,"$35,000-$39,999","$35,000-$39,999",NA,3,"Some college",NA,"NH White",NA,NA,NA,0.5,0.5,NA,"$35,000-$39,999",0.635193519351935,1.33864650696785,-0.01363236587511,-0.118523748785228,-0.105070691801529,-0.105335325069116,NA,-8.10300464131586
"29",2,1,1,0.5,0,0,1,251,"2008",56,NA,1,0,"$35,000-$39,999","$35,000-$39,999",NA,4,"High School",NA,"NH Native",NA,NA,70,0.5,0.5,NA,"$35,000-$39,999",-1.36480648064806,-1.66135349303215,0.48636763412489,-0.118523748785228,-0.105070691801529,-0.105335325069116,NA,6.89699535868414
"30",4,0,3,1,0,1,0,214,"2008",38,NA,1,0,"$100,000-$109,999","$60,000-$74,999",NA,3,"Some college",NA,"Hispanic",NA,NA,50,1,1,NA,"$100,000-$109,999",0.635193519351935,0.338646506967848,-0.51363236587511,0.381476251214772,0.394929308198471,0.394664674930884,NA,-11.1030046413159
"31",4,0,4,0.25,1,0,0,758,"2008",60,NA,0,1,NA,"$90,000-$99,999",NA,5,"High School",NA,"NH White",NA,NA,0,0.25,0.25,NA,NA,0.635193519351935,1.33864650696785,-0.51363236587511,-0.368523748785228,-0.355070691801529,-0.355335325069116,NA,10.8969953586841
"32",1,0.5,1,1,1,0,0,825,"2008",78,NA,1,0,"$75,000-$89,999","$75,000-$89,999",NA,4,"High School",NA,"NH White",NA,NA,45,1,1,NA,"$75,000-$89,999",-2.36480648064806,-1.66135349303215,-0.01363236587511,0.381476251214772,0.394929308198471,0.394664674930884,NA,28.8969953586841
"33",5,0.5,4,0.25,1,0,0,778,"2008",57,NA,1,0,"$100,000-$109,999","$100,000-$109,999",NA,2,"Some college",NA,"NH White",NA,NA,15,0.25,0.25,NA,"$100,000-$109,999",1.63519351935194,1.33864650696785,-0.01363236587511,-0.368523748785228,-0.355070691801529,-0.355335325069116,NA,7.89699535868414
"34",1,0,4,0.5,0,1,0,549,"2008",54,NA,1,0,"$15,000-$16,999","$15,000-$16,999",NA,3,"High School",NA,"NH White",NA,NA,85,0.5,0.5,NA,"$15,000-$19,999",-2.36480648064806,1.33864650696785,-0.51363236587511,-0.118523748785228,-0.105070691801529,-0.105335325069116,NA,4.89699535868414
